indice,nombre,precio,tienda
38,AREPA DE MAÍZ BLANCO CON AVENA Y CHÍA MASMAÍ 5 ...,$ 3.690,d1
39,AREPA BLANCA MASMAÍ 5 UND - 400 G,$ 990,d1
40,AREPA AMARILLA MASMAÍ 5 UND - 400 G,$ 990,d1
41,AREPA MINITELA BLANCA MASMAI 10 UND - 500 G...,$ 1.050,d1
42,SALCHICHA RANCHERA X 131 G X 4 UD,$ 4.490,d1
43,JAMON PIETRAN ESTANDAR 167 GRS,$ 5.550,d1
44,COMBO TRADICIONAL VIANDE 900 GR,$ 9.890,d1
45,MORCILLA VIANDÉ 500 GRS,$ 5.990,d1
46,JAMÓN DE POLLO PREMIUM BRAKEL 250 G,$ 5.250,d1
47,COSTILLA DE CERDO AHUMADA BIG BOB 450 G,$ 12.590,d1
48,JAMÓN SERRANO LOURISIERRA 80 G,$ 6.490,d1
49,JAMON PERNIL CERDO PREMIUM VIANDÉ 250 G,$ 7.300,d1
50,SALCHICHÓN DE POLLO BRAKEL 500 G,$ 4.850,d1
51,SALCHICHÓN CERVECERO VIANDÉ 500 G,$ 7.300,d1
52,SALCHICHA TIPO PARRILLA BIG BOB 280 G,$ 6.990,d1
53,SALCHICHA PERRO AMERICANA BIG BOB 430 G,$ 7.590,d1
54,SALCHICHÓN TRADICIONAL VIANDÉ 500 G,$ 4.690,d1
55,CHORIZO VELA + SALAMI LOURISIERRA 80 G,$ 6.490,d1
56,HAMBURGUESA PARRILLA BIG BOB 400 G X 4 UD...,$ 10.990,d1
57,CABANO VIANDE 68 GR X 4 UD,$ 2.890,d1
58,CHORIZO CAMPESINO AHUMADO VIANDÉ 225 GRS,$ 3.290,d1
59,CHORIZO TIPO TERNERA VIANDÉ 500 G,$ 8.450,d1
60,CHORIZO SANTARROSANO VIANDÉ 225 G,$ 4.490,d1
61,MORTADELA POLLO PREMIUM BRAKEL 250 G,$ 3.690,d1
62,JAMÓN DE CERDO PREMIUM VIANDÉ 300 G,$ 6.790,d1
63,LONGANIZA DE CERDO VIANDÉ 320 G,$ 5.690,d1
64,HAMBURGUESA DE RES VIANDÉ 450 G,$ 8.250,d1
65,TOCINETA TIPO SANDWICH VIANDÉ 200 G,$ 4.990,d1
66,SALCHICHA MINIMANGUERA VIANDÉ 480 G,$ 3.790,d1
67,JAMON DE PAVO WHITE HOLLAND 250 G,$ 7.490,d1
68,JAMÓN DE CERDO VIANDÉ 400 GRS,$ 6.490,d1
69,MORTADELA FINA VIANDÉ 225 GRS,$ 2.190,d1
70,SALCHICHA PARRILLA VIANDÉ 500 GRS,$ 7.750,d1
71,HAMBURGUESA DE POLLO BRAKEL 450 G,$ 8.250,d1
72,TOCINETA AHUMADA VIANDÉ 150 GRS,$ 4.650,d1
73,SALCHICHA TRADICIONAL VIANDÉ 450 GRS,$ 5.090,d1
74,BUTIFARRA VIANDE 500 G,$ 5.990,d1
75,JAMÓN PECHUGA PAVO DELISHAVED BAR-S 227 G...,$ 13.650,d1
76,PERA VERDE IMPORTADA 1000 G,$ 8.490,d1
77,MANZANA ROYAL GALA 1000 GRS,$ 8.090,d1
78,PIMENTÓN X 500 G,$ 3.450,d1
79,PLÁTANO HARTÓN 1000 G,$ 3.690,d1
80,TOMATES ENTEROS PELADOS DELIZIARE 400 G,$ 4.490,d1
81,CARNE DE DIABLO ZENÚ 80 G,$ 4.690,d1
82,CONSERVA DE PESCADO EN TINAPA 155 G NETO,$ 3.250,d1
83,ATÚN RALLADO EL NAVÍO 170 G,$ 2.690,d1
84,ATÚN ACEITE DE OLIVA CARLO FORTE 160 G,$ 6.290,d1
85,TOMATES SECOS AINOA 180 G,$ 7.990,d1
86,MAÍZ TIERNO COOLTIVO 340 G,$ 4.490,d1
87,CONSERVA DE PESCADO CARLO FORTE 425 G,$ 5.650,d1
88,SALCHICHA VIENA VIANDÉ 150 G,$ 2.490,d1
89,ALCAPARRAS EN VINAGRE AINOA 125 GR,$ 2.990,d1
90,CHAMPIÑONES TAJADOS COOLTIVO 280 G,$ 4.750,d1
91,ACEITUNA DES/PIMIEN BOLSA AINOA 180 GR,$ 2.690,d1
92,CONCHAS DORIA 250 G,$ 1.950,d1
93,CABELLO DE ÁNGEL DORIA 250 G,$ 1.950,d1
94,SPAGUETTI CAPRÍSSIMA 250 GRS,$ 1.250,d1
95,CONCHA CAPRÍSSIMA 250 GRS,$ 1.250,d1
96,CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS,$ 1.250,d1
97,SPAGHETTI DELIZIARE 500 G,$ 3.690,d1
98,PENNE DELIZIARE 500 G,$ 3.690,d1
99,FUSILLI MIXTO DELIZIARE 500 G,$ 4.990,d1
100,PASTA PARA LASAGNA DELIZIARE X 450 GR,$ 6.990,d1
101,SPAGHETTI DORIA 250 G,$ 1.950,d1
102,ESPARCIBLE MULTIUSOS RAMA 250 G,$ 3.990,d1
103,ACEITE GOTA DE ORO 3000 ML,$ 28.890,d1
104,ACEITE GOTA DE ORO 1000 ML,$ 9.390,d1
105,ACEITE DE CANOLA DON OLIO 2000 ML,$ 24.990,d1
106,ESPARCIBLE DON OLIO LIGHT 250 G,$ 4.290,d1
107,ACEITE SPRAY CANOLA DON OLIO 180 ML,$ 10.490,d1
108,ACEITE DE GIRASOL GOTA DE ORO 2000 ML,$ 19.990,d1
109,MANTEQUILLA CLARIFICADA GHEE NATRI 180GR,$ 10.990,d1
110,ACEITE DE CANOLA DON OLIO 1000 ML,$ 13.450,d1
111,ESPARCIBLE VEGETAL DON OLIO 500 G,$ 6.790,d1
112,BARRA ESPARCIBLE DON OLIO 125 G,$ 1.290,d1
113,ESPARCIBLE DE CANOLA DON OLIO 250 G,$ 4.190,d1
114,ACEITE OLIVA EXTRAVIR CASTELL D F 1000ML,$ 24.990,d1
115,ACEITE OLIVA EXTRAVIRGEN CASTELL DEL FERRO 500 ...,$ 12.990,d1
116,ACEITE DE COCO VIRGEN NATRI 210 ML,$ 9.990,d1
117,PANELA PULVERIZADA EL REFUGIO 500 G,$ 3.090,d1
118,ARROZ DIANA 1000 G,$ 3.690,d1
119,ARROZ INTEGRAL DIANA 1.000 G,$ 3.990,d1
120,AZÚCAR BLANCA 1000 GRS,$ 3.690,d1
121,ENDULZANTE CON STEVIA NATRI 180 G,$ 5.450,d1
122,FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,$ 5.850,d1
123,ENDULZANTE FRASCO DULCRALIGHT 180 GRS,$ 4.990,d1
124,FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,$ 4.950,d1
