indice,nombres,precios
104,Galleta Tosh Light Chocolate 144 G,$ 7.100
105,Salsa De Tomate Olimpica Doypack 1000 G,$ 7.450
106,Azúcar La Económica 1 Kg,$ 3.700
107,Pasta Penne Rigate Conzazoni 500 G,$ 6.550
108,Almendras Americanas Olimpica 200 G,$ 14.950
109,Aceite De Oliva D' Aguirre Extra Virgen 500 Ml,$ 14.190
110,Panela El Trébol 1000 G X2 Unds,$ 3.990
111,ATUN MEDALLA ORO TROZO ACEITE VEG 170g,$ 3.990
112,Condimento Olimpica Orégano 10 G,$ 1.300
113,Galleta Dux Integral 250 G,$ 4.500
114,Aceite La Muñeca 3000 ML,$ 32.450
115,Aceite De Girasol Premier 2 Lt,$ 36.100
116,Avena Don Pancho En Hojuelas 600 G Extra Contenido,$ 5.500
117,Miel Syrup Aunt Jemina Original 355 Ml,$ 18.500
118,Salsa Mayonesa Fruco Light Duopack 180 G,$ 8.450
119,Salsa Fruco Mayonesa Doypack 190 G,$ 3.950
120,Caldo Gallina Knorr Desmenuzado 8 G 12X10 Oferta,$ 2.500
121,Pasta Olimpica De Tomate Doypack 200 G,$ 3.750
122,"Galleta Tosh Yogurt Y Fresas 148,8 G X6 Unds",$ 7.200
123,Vinagre Buni 3 Lt,$ 5.950
124,Arroz Olimpica Azul 3 Kg,$ 10.800
125,Salsa Medalla De Oro Para Carnes 195 G,$ 1.950
126,Miel De Abeja Olimpica 350 G,$ 7.400
127,Té Hindú Frutos Rojos 20 G,$ 10.400
128,Arroz Tailandés 500 G,$ 2.640
129,Salsa De Tomate Fruco Doypack 600 G,$ 10.400
130,Leche Condensada La Lechera Duopack 90 G,$ 2.750
131,Arroz Tailandés Integral 1 Kg,$ 5.280
132,Huevo B Santa Anita Rojos Amarrado X30 Unds,$ 14.950
133,Arroz Tailandés 1 Kg,$ 5.280
134,Pasta Macarrón Doria Con Salsa Queso 210 G,$ 3.750
135,Avena Toning En Hojuelas 1 Kg,$ 6.990
136,Salsa De Tomate Fruco Doypack 190 G,$ 3.550
137,Leche En Polvo Klim Fortificada 840 G,$ 25.160
138,Leche Condensada La Lechera 395 G,$ 11.950
139,Cereal Kellogg´s Zucaritas 730 G,$ 21.900
140,Lomito De Atún Olimpica Agua 160 G,$ 4.190
