indice,nombre,precio,tienda
94,Azúcar morena Riopaila x 2500g,$ 8.790,jumbo
95,Aceite girasol premier garrafa x 3000 ml,$ 51.590,jumbo
96,Café Buendía Clásico Soluble x 340G,$ 32.990,jumbo
97,Harina De Trigo Integral Haz De Oros x 500g,$ 2.790,jumbo
98,Arroz Supremo x 1000 g,$ 3.990,jumbo
99,Salsa Barilla De Tomate Y Albahaca Extra Contenido X 500G,$ 11.990,jumbo
100,Aceite Vegetal Riquisimo x 1000 cc,$ 11.590,jumbo
101,Arroz Máxima x25 und x500g c-u,$ 39.990,jumbo
102,Arroz Diana Premium x 4000 g,$ 22.990,jumbo
103,Panela fonce pulverizada natural x500g,$ 3.592,jumbo
104,Maíz Tierno San Jorge x 2 und.x 190 g,$ 8.990,jumbo
105,Azúcar Manuelita Morena x 1 Kilo,$ 3.690,jumbo
106,Pasta Clásica Cabello de Ángel Doria x 250 g.,$ 2.290,jumbo
107,Pasta nissin ramen pollo x85g,$ 2.190,jumbo
108,Atún La Soberana aceite girasol x3und x240g,$ 12.990,jumbo
109,Aceite Gourmet Familia x 2000 cc,$ 36.990,jumbo
110,Arroz casanare x 10 kg,$ 38.990,jumbo
111,Pastas Monticello penne rigate x 500 g.,$ 7.590,jumbo
112,Avena Why Not Hojuelas Sin Gluten Granoente x1000g,$ 17.272,jumbo
113,Pasta Clásica Spaghetti Doria x 250 g.,$ 2.290,jumbo
114,Frijol Diana cargamanto rojo x 500g,$ 5.990,jumbo
115,Maiz Zenu dulce x 241g,$ 5.390,jumbo
116,Aceite Gourmet x 5000ml,$ 77.990,jumbo
117,Café Juan Valdez tostado molido cumbre x454g,$ 26.990,jumbo
118,Atún Van Camps lomitos aceite oliva finas hierbas 3 unidades x 80 g c/u,$ 15.390,jumbo
119,Cereal zucaritas ekonobolsa x410g,$ 14.190,jumbo
120,Café Quindío Gourmet x 500G,$ 28.990,jumbo
121,Atún Agua 3und x 80g Van Camps,$ 13.390,jumbo
122,Harina De Trigo Tradicional Haz De Oros x 2500g,$ 8.190,jumbo
123,Milo Bolsa x500g,$ 14.693,jumbo
