indice,nombres,precios
91,ACEITUNA DES/PIMIEN BOLSA AINOA 180 GR,$ 2.690
92,CONCHAS DORIA 250 G,$ 1.950
93,CABELLO DE ÁNGEL DORIA 250 G,$ 1.950
94,SPAGUETTI CAPRÍSSIMA 250 GRS,$ 1.250
95,CONCHA CAPRÍSSIMA 250 GRS,$ 1.250
96,CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS,$ 1.250
97,SPAGHETTI DELIZIARE 500 G,$ 3.690
98,PENNE DELIZIARE 500 G,$ 3.690
99,FUSILLI MIXTO DELIZIARE 500 G,$ 4.990
100,PASTA PARA LASAGNA DELIZIARE X 450 GR,$ 6.990
101,SPAGHETTI DORIA 250 G,$ 1.950
102,ESPARCIBLE MULTIUSOS RAMA 250 G,$ 3.990
103,ACEITE GOTA DE ORO 3000 ML,$ 28.890
104,ACEITE GOTA DE ORO 1000 ML,$ 9.390
105,ACEITE DE CANOLA DON OLIO 2000 ML,$ 24.990
106,ESPARCIBLE DON OLIO LIGHT 250 G,$ 4.290
107,ACEITE SPRAY CANOLA DON OLIO 180 ML,$ 10.490
108,ACEITE DE GIRASOL GOTA DE ORO 2000 ML,$ 19.990
109,MANTEQUILLA CLARIFICADA GHEE NATRI 180GR,$ 10.990
110,ACEITE DE CANOLA DON OLIO 1000 ML,$ 13.450
111,ESPARCIBLE VEGETAL DON OLIO 500 G,$ 6.790
112,BARRA ESPARCIBLE DON OLIO 125 G,$ 1.290
113,ESPARCIBLE DE CANOLA DON OLIO 250 G,$ 4.190
114,ACEITE OLIVA EXTRAVIR CASTELL D F 1000ML,$ 24.990
115,ACEITE OLIVA EXTRAVIRGEN CASTELL DEL FERRO 500 ...,$ 12.990
116,ACEITE DE COCO VIRGEN NATRI 210 ML,$ 9.990
117,PANELA PULVERIZADA EL REFUGIO 500 G,$ 3.090
118,ARROZ DIANA 1000 G,$ 3.690
119,ARROZ INTEGRAL DIANA 1.000 G,$ 3.990
120,AZÚCAR BLANCA 1000 GRS,$ 3.690
121,ENDULZANTE CON STEVIA NATRI 180 G,$ 5.450
122,FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,$ 5.850
123,ENDULZANTE FRASCO DULCRALIGHT 180 GRS,$ 4.990
124,FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,$ 4.950
125,AZÚCAR MORENA 1000 GRS,$ 3.750
126,FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,$ 6.350
127,FRÍJOL CARAOTA GRANIPACK 500 G,$ 3.150
128,ARVEJA EL ESTIO 500 GRS,$ 1.950
129,LENTEJA EL ESTÍO 500 GRS,$ 3.190
130,MAÍZ PIRA EL ESTÍO 500 GRS,$ 2.390
131,GARBANZO EL ESTÍO 500 GRS,$ 3.190
132,ARROZ EL ESTÍO 500 GRS,$ 1.790
133,ARROZ ECONÓMICO EL ESTÍO 454 G,$ 1.590
134,ARROZ PREMIUM EL ESTIO 2500 G,$ 9.990
135,ARROZ PREMIUM EL ESTÍO 1000 GRS,$ 4.190
136,PANELA CUADRADA 1000 G,$ 4.590
137,CALDO DE COSTILLA MAGGI 10 UND 80 G,$ 3.390
138,CALDO DE GALLINA MAGGI 10 UND 88 G,$ 3.390
139,CALDO DE GALLINA SPECIARIA 8 UND - 84 G,$ 1.790
140,CREMA DE CHÓCLO VELSUP 70 G,$ 1.390
141,CREMA DE POLLO CON CHAMPIÑONES VELSUP 70 G...,$ 1.980
142,CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS,$ 1.790
143,SOPA AJIACO RICO 45 GR,$ 1.290
144,SOPA CREMA DE POLLO RICO 45 GR,$ 1.490
145,SAL REFISAL 1000 G,$ 1.650
146,MEZCLA CONDIMENTOS SAZONAREY 35 G,$ 950
147,PASTA DE PIMENTÓN DELIKA 110 G,$ 1.790
148,MEZCLA PARA ADOBAR DELIKA 110 G,$ 1.790
149,PASTA DE AJO DELIKA 110 G,$ 1.790
150,BICARBONATO DE SODIO SPECIARIA 200 GR,$ 2.290
151,CANELA MOLIDA PURA SPECIARIA 28 G,$ 2.600
152,TOMILLO SPECIARIA 20 G,$ 1.900
153,ALBAHACA SPECIARIA 20 G,$ 1.750
154,COLORANTE NATURAL CURCUMA SPECIARIA 28 G,$ 1.990
155,COMINO SPECIARIA 28 G,$ 2.200
156,LAUREL SPECIARIA 20 G,$ 1.750
157,OREGANO SPECIARIA 20 G,$ 1.990
158,PIMIENTA MOLIDA SPECIARIA 28 G,$ 1.990
159,AJO GRANULADO SPECIARIA 28 G,$ 1.990
160,CANELA EN ASTILLAS SPECIARIA 20 GR,$ 2.190
161,COCO RALLADO SPECIARIA 100 GR,$ 2.990
162,MORINGA EN HOJAS P&I 8 G,$ 1.590
163,PAPRIKA SPECIARIA 28 G,$ 1.590
164,JENGIBRE EN POLVO SPECIARIA 28 G,$ 1.790
165,CURRY EN POLVO SPECIARIA 28 G,$ 1.490
166,CLAVO ENTERO SPECIARIA 20 G,$ 2.890
167,HARINA DE MAÍZ BLANCO PAN 1000 G,$ 4.150
168,HARINA DE MAÍZ AMARILLO PAN 1000 G,$ 4.150
169,HARINA DE TRIGO CON POLVO PARA HORNEAR,$ 2.190
170,GRANO ENTERO DE QUINUA,$ 4.790
171,PREMEZCLA PARA PANCAKES QUICKSY 300 G,$ 2.590
172,HARINA DE TRIGO QUICKSY 500 G,$ 1.890
173,PREMEZCLA DE GALLETAS CON CHIPS DE CHOCOLATE QU...,$ 4.150
174,HARINA DE MAIZ BLANCO QUICKSY 1000 G,$ 3.150
175,HARINA DE MAIZ AMARILLO QUICKSY 1000 G,$ 3.150
176,CHOCO KRISPIS KELLOGG¿S 200 G,$ 4.690
177,ZUCARITAS KELLOGG¿S 200 G,$ 4.690
178,CEREAL FLIPS CHOCOLATE 400 G,$ 9.690
179,FROOT LOOPS KELLOGG°S 160 G,$ 4.690
180,CEREAL ORIGINAL FITNESS 230 G,$ 7.990
181,AVENA EN HARINA COSECHA IMPERIAL 200 G,$ 990
182,CEREAL DE AVENA CON CANELA FIT GRAAN 300 G...,$ 8.190
183,BARRAS DE CEREAL FIT GRAAN 138 G,$ 4.290
184,CEREAL DE MAIZ Y QUINUA FIT GRAAN 300 G,$ 4.590
185,HOJUELA DE MAIZ NATURAL FIT GRAAN 300 GR,$ 4.390
186,HOJUELAS AZUCARADAS FIOCCO 300 G,$ 4.490
187,ARROZ ACHOCOLATADO FIOCCO 320 G,$ 4.790
188,AROS FRUTALES FIOCCO 230 G,$ 3.850
189,AVENA EN HOJUELAS FIT GRAAN 250 G,$ 1.290
190,GRANOLA FRUTOS ROJOS FIT GRAAN 350 G,$ 4.150
191,GRANOLA COCO Y PASAS FIT GRAAN 350 G,$ 4.150
192,TAMAL TOLIMENSE 2 UND 400 G,$ 7.350
193,PIZZA DE JAMÓN Y QUESO / HAWAIANA BACKEREI 130 ...,$ 3.090
194,QUINUA PREPARADA CUCINA & AMORE 225 G,$ 7.990
195,SALSA SHOWY 200 G,$ 3.890
196,VINAGRETA RANCH ZEV X 240 GR,$ 3.590
197,VINAGRETA ITALIANA ZEV 240 G,$ 3.590
198,MAYONESA FRUCO 480 G,$ 7.350
199,SALSA TÁRTARA ZEV 200GR,$ 1.790
200,ESENCIA DE VAINILLA SPECIARIA 155ML,$ 1.990
201,SALSA DE TOMATE FRUCO 650G,$ 7.490
202,SALSA DE AJÍ PICANTE MASH 175 GR,$ 1.890
