indice,nombres,precios
404,PAPAS FRITAS SABOR NATURAL KYTHOS 115 G,$ 2.790
405,PAPAS FRITAS SABOR BBQ KYTHOS 115 G,$ 2.790
406,ROSQUILLAS HORNEADITOS 12 UND - 192 G,$ 5.850
407,MEZCLA DIVERTIDA NUTHOS 200 G,$ 4.150
408,TOSTACOS PICANTES 185GR,$ 4.190
409,FLAN DE LECHE CON CARAMELO LATTI 150 G,$ 2.750
410,POSTRE DE GELATINA CON LECHE KEDELI 180 G...,$ 2.650
411,ARROZ CON LECHE TRADICIÓN 1915 120 G,$ 1.990
412,LECHE ASADA TRADICIÓN 1915 120 G,$ 2.990
413,POSTRE DE TRES LECHES DON JACOBO 86 G,$ 2.990
414,ARÁNDANOS 125 G,$ 4.650
415,ALBONDIGON VIANDE X 450 GRS,$ 5.300
416,PASTA DE CEBOLLA LARGA DELIKA 110 G,$ 1.790
417,PIÑA EN TROZOS AINOA 520 G,$ 5.990
418,TORTA MARÍA LUISA/CHOCOLATE CON AREQUIPE 500 G...,$ 9.490
419,GALLETAS MINI CHIPS 8 PQ 280G,$ 6.690
420,CREMA CHOCOLATE NUCITA 8UN,$ 3.990
421,POLLO ENTERO SAVICOL X 1600 G,$ 15.760
422,PREMEZCLA TORTA NARANJA QUICKSY 400 G,$ 3.590
423,PREMEZCLA TORTA VAINILLA QUICKSY 400 G,$ 3.590
424,ALMIDON DE YUCA QUICKSY 200 G.,$ 3.390
425,MEZCLA SENSACIÓN NUTHOS 180 GR,$ 4.990
